Exploring user behavioral data for adaptive cybersecurity	https://link.springer.com/article/10.1007/s11257-019-09236-5	JH Addae, X Sun, D Towey, M Radenkovic - User Modeling and User …, 2019 - Springer	This paper describes an exploratory investigation into the feasibility of predictive analytics of--user behavioral data as a possible aid in developing effective user models for adaptive--cybersecurity. Partial least squares structural equation modeling is applied to the domain of -	Cited by 5	https://nottingham-repository.worktribe.com/preview/2299232/UmuaiManuscript_majorRevisions_20190223.pdf	Exploring-user-behavioral-data-for-adaptive-cybersecurity	6/2/2021 4:06:02 PM
Cyber workforce development using a behavioral cybersecurity paradigm	https://ieeexplore.ieee.org/abstract/document/7836614/	BD Caulkins, K Badillo-Urquiola… - … on Cyber Conflict …, 2016 - ieeexplore.ieee.org	This paper contributes to the ongoing efforts in the cybersecurity community to strengthen--cyber workforce development by providing an overview of key gaps and proposing practical--education strategies. Leveraging documented incidents from defense- industry- and -	Cited by 22	https://www.researchgate.net/profile/Bruce_Caulkins/publication/320433920_Modeling_and_Simulation_Education_for_Behavioral_Cybersecurity/links/59f7289a0f7e9b553ebd5b68/Modeling-and-Simulation-Education-for-Behavioral-Cybersecurity.pdf	Cyber-workforce-development-using-a-behavioral-cybersecurity-paradigm	6/2/2021 4:06:06 PM
Cybersecurity: Role of behavioral training in healthcare	https://aisel.aisnet.org/amcis2016/ISSec/Presentations/6/	H Zafar - 2016 - aisel.aisnet.org	We were tasked by a global leader in healthcare to look into making the organization more--secure by creating a training program that focused on employee habits. By adapting a model--from consumer behavior to information security- we were able to find strong correlations -	Cited by 6	https://core.ac.uk/download/pdf/301368936.pdf	Cybersecurity--Role-of-behavioral-training-in-healthcare	6/2/2021 4:06:11 PM
Bitcoin and cybersecurity: temporal dissection of blockchain data to unveil changes in entity behavioral patterns	https://www.mdpi.com/2076-3417/9/23/5003	F Zola, JL Bruse, M Eguimendia, M Galar… - Applied Sciences, 2019 - mdpi.com	The Bitcoin network not only is vulnerable to cyber-attacks but currently represents the most--frequently used cryptocurrency for concealing illicit activities. Typically- Bitcoin activity is--monitored by decreasing anonymity of its entities using machine learning-based techniques -	Cited by 6	https://www.mdpi.com/2076-3417/9/23/5003/pdf	Bitcoin-and-cybersecurity--temporal-dissection-of-blockchain-data-to-unveil-changes-in-entity-behavioral-patterns	6/2/2021 4:06:17 PM
Personality as a predictor of cybersecurity behavior.	https://psycnet.apa.org/record/2019-28368-001	AT Shappie, CA Dawson, SM Debb - Psychology of Popular Media …, 2019 - psycnet.apa.org	- Future re- search should aim to develop cybersecurity behavioral models that include different--aspects of attitudes so that researchers can gain a better understanding of how personality--make-up is associated with awareness and implementation of cybersecurity best practices -	Cited by 10	https://www.researchgate.net/profile/Scott_Debb/publication/333326382_Personality_as_a_Predictor_of_Cybersecurity_Behavior/links/5ebc178292851c11a867549a/Personality-as-a-Predictor-of-Cybersecurity-Behavior.pdf	Personality-as-a-predictor-of-cybersecurity-behavior-	6/2/2021 4:06:21 PM
Review and insight on the behavioral aspects of cybersecurity	https://link.springer.com/content/pdf/10.1186/s42400-020-00050-w.pdf	RA Maalem Lahcen, B Caulkins, R Mohapatra… - Cybersecurity, 2020 - Springer	Stories of cyber attacks are becoming a routine in which cyber attackers show new levels of--intention by sophisticated attacks on networks. Unfortunately- cybercriminals have figured--out profitable business models and they take advantage of the online anonymity. A serious -	Cited by 6	https://link.springer.com/content/pdf/10.1186/s42400-020-00050-w.pdf	Review-and-insight-on-the-behavioral-aspects-of-cybersecurity	6/2/2021 4:06:25 PM
An approach based on behavioral models and critical states distance notion for improving cybersecurity of industrial control systems	https://www.sciencedirect.com/science/article/pii/S095183201830262X	F Sicard, É Zamaï, JM Flaus - Reliability Engineering & System Safety, 2019 - Elsevier	Since the beginning of the 21th century- Industrial Control Systems -ICS- have been targeted--by hackers. The main motives for the interest to ICS is the ease for performing cyberattacks--and the potential damages inflicted to the system and its environment in case of success -	Cited by 9	https://www.sciencedirect.com/science/article/am/pii/S095183201830262X	An-approach-based-on-behavioral-models-and-critical-states-distance-notion-for-improving-cybersecurity-of-industrial-control-systems	6/2/2021 4:06:29 PM
From individual decisions from experience to behavioral game theory: lessons for cybersecurity	https://link.springer.com/chapter/10.1007/978-1-4614-5416-8_4	C Gonzalez - Moving target defense II, 2013 - Springer	This chapter discusses a central challenge arising from the success of modeling human--behavior in making decisions from experience- our ability to scale these models up to--explain non-cooperative team behavior in a dynamic cyber space. Computational models of -	Cited by 7	https://www.academia.edu/download/33379119/GonzalezMovingTarget-V4.pdf	From-individual-decisions-from-experience-to-behavioral-game-theory--lessons-for-cybersecurity	6/2/2021 4:06:33 PM
Exploring the role of individual employee characteristics and personality on employee compliance with cybersecurity policies	http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.453.3551&rep=rep1&type=pdf	M McBride, L Carter, M Warkentin - RTI International-Institute for …, 2012 - Citeseer	- Phase 2 entailed the creation of a research model based on the literature review and associated--concrete research hypotheses which link the salient antecedent constructs with the dependent--variable - -behavioral intention to violate cybersecurity policies.- The relationships -	Cited by 55	http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.453.3551&rep=rep1&type=pdf	Exploring-the-role-of-individual-employee-characteristics-and-personality-on-employee-compliance-with-cybersecurity-policies	6/2/2021 4:06:39 PM
Human performance in cybersecurity: A research agenda	https://journals.sagepub.com/doi/abs/10.1177/1071181311551233	MW Boyce, KM Duma, LJ Hettinger… - Proceedings of the …, 2011 - journals.sagepub.com	- Likewise- the pending House Bill HR 4061- the --Cybersecurity Enhancement Act of 2010-- Section--112 states that the National Center of Excellence for Cybersecurity shall perform research on--cybersecurity social and behavioral factors- including human- computer interactions -	Cited by 55	https://www.researchgate.net/profile/Michael_Boyce2/publication/272428677_Human_Performance_in_Cybersecurity_A_Research_Agenda/links/5570983f08aedcd33b280ea2.pdf	Human-performance-in-cybersecurity--A-research-agenda	6/2/2021 4:06:43 PM
